,befor 1- and 2-Methylnaphthalene degradation,befor Aminophosphonate metabolism,befor Amyotrophic lateral sclerosis (ALS),befor Androgen and estrogen metabolism,befor Antigen processing and presentation,befor Apoptosis,befor Biosynthesis of ansamycins,befor Biosynthesis of vancomycin group antibiotics,befor Biotin metabolism,befor Bisphenol A degradation,befor Caprolactam degradation,befor Cyanoamino acid metabolism,befor Cytokine-cytokine receptor interaction,befor D-Alanine metabolism,befor D-Arginine and D-ornithine metabolism,befor Epithelial cell signaling in Helicobacter pylori infection,befor Fluorobenzoate degradation,befor Folate biosynthesis,befor Inositol metabolism,befor Insulin signaling pathway,befor Linoleic acid metabolism,befor Lipoic acid metabolism,befor N-Glycan biosynthesis,befor Neuroactive ligand-receptor interaction,befor Nucleotide excision repair,befor Penicillin and cephalosporin biosynthesis,befor Polyketide sugar unit biosynthesis,befor Prostate cancer,befor Protein export,befor Regulation of actin cytoskeleton,befor Riboflavin metabolism,befor Streptomycin biosynthesis,befor Synthesis and degradation of ketone bodies,befor Terpenoid biosynthesis,befor Tetrachloroethene degradation,befor Tetracycline biosynthesis,befor Type IV secretion system,befor Ubiquitin mediated proteolysis,befor Zeatin biosynthesis,befor beta-Lactam resistance,after 1- and 2-Methylnaphthalene degradation,after Aminophosphonate metabolism,after Amyotrophic lateral sclerosis (ALS),after Androgen and estrogen metabolism,after Antigen processing and presentation,after Apoptosis,after Biosynthesis of ansamycins,after Biosynthesis of vancomycin group antibiotics,after Biotin metabolism,after Bisphenol A degradation,after Caprolactam degradation,after Cyanoamino acid metabolism,after Cytokine-cytokine receptor interaction,after D-Alanine metabolism,after D-Arginine and D-ornithine metabolism,after Epithelial cell signaling in Helicobacter pylori infection,after Fluorobenzoate degradation,after Folate biosynthesis,after Inositol metabolism,after Insulin signaling pathway,after Linoleic acid metabolism,after Lipoic acid metabolism,after N-Glycan biosynthesis,after Neuroactive ligand-receptor interaction,after Nucleotide excision repair,after Penicillin and cephalosporin biosynthesis,after Polyketide sugar unit biosynthesis,after Prostate cancer,after Protein export,after Regulation of actin cytoskeleton,after Riboflavin metabolism,after Streptomycin biosynthesis,after Synthesis and degradation of ketone bodies,after Terpenoid biosynthesis,after Tetrachloroethene degradation,after Tetracycline biosynthesis,after Type IV secretion system,after Ubiquitin mediated proteolysis,after Zeatin biosynthesis,after beta-Lactam resistance,interaction,predict
0,0.0,0.0,0.0,0.0,0.13,0.0,0.50859649122807,0.155087719298246,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.145964912280702,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.73755579993182,0.06262180209159851
1,0.0,0.0,0.0,0.0,0.5394,0.0,0.29,0.3074,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.29,0.3132,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.50859649122807,0.155087719298246,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.145964912280702,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.0,3.38154527106552,3.038268804550171
2,0.0,0.0,0.0,0.0,0.5394,0.0,0.29,0.3074,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.29,0.3132,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48037579137943,3.0496811866760254
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.50859649122807,0.155087719298246,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.145964912280702,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.13,0.0,2.74064986136926,2.449280261993408
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5394,0.0,0.29,0.3074,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.29,0.3132,0.0,0.29,0.0,4.27639342181195,2.0037031173706055
5,0.0,0.0,0.0,0.19,0.23384615384615398,0.0,0.48230769230769205,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.365384615384615,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.186482939632546,0.125459317585302,0.1,0.0,0.0,0.0,0.1,0.1,0.17007874015748,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.11496062992126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100262467191601,0.1,0.0,0.1,0.1,-0.0240217600676865,-0.43112316727638245
6,0.0,0.0,0.0,0.19,0.23384615384615398,0.0,0.48230769230769205,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.365384615384615,0.0,0.0,0.0,0.0,0.0,0.33,0.0,1.2568085106383,0.505531914893617,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372127659574468,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.33,0.0,-5.466081203033321,3.829965353012085
7,0.0,0.1,0.1,0.0,0.0,0.0,0.186482939632546,0.125459317585302,0.1,0.0,0.0,0.0,0.1,0.1,0.17007874015748,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.11496062992126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100262467191601,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.19,0.23384615384615398,0.0,0.48230769230769205,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.365384615384615,0.0,2.0618699058811703,2.7252702713012695
8,0.0,0.1,0.1,0.0,0.0,0.0,0.186482939632546,0.125459317585302,0.1,0.0,0.0,0.0,0.1,0.1,0.17007874015748,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.11496062992126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100262467191601,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.33,0.0,1.2568085106383,0.505531914893617,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372127659574468,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.33,0.0,10.8382640728742,-3.5676469802856445
9,0.0,0.0,0.0,0.0,0.33,0.0,1.2568085106383,0.505531914893617,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.372127659574468,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.19,0.23384615384615398,0.0,0.48230769230769205,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.365384615384615,0.0,2.98348347914487,1.4668670892715454
